,Date,Low,High,Close,Open
3417,2011-10-03,4.53,5.59,4.63,5.44
3416,2009-01-26,7.52,8.02,7.7,7.79
3415,2017-05-19,44.74,45.38,45.22,44.8
3414,2016-05-02,34.4,35.165,34.43,34.99
3413,2017-06-20,48.01,49.36,48.03,49.22
3412,2017-08-17,45.795,48.34,46.03,48.25
3411,2011-07-14,7.62,7.91,7.64,7.89
3410,2018-03-02,51.87,53.415,53.18,52.9
3409,2014-04-14,32.77,34.77,33.37,34.0
3408,2008-01-15,11.75,12.64,12.51,11.85
3407,2008-02-29,12.4,13.02,12.4,12.81
3406,2005-11-01,24.69,25.08,25.02,24.7
3405,2013-10-08,19.92,20.43,20.02,20.32
3404,2007-03-20,47.85,49.4,48.53,47.88
3403,2008-01-14,11.53,12.38,12.04,12.07
3402,2007-01-25,52.25,54.09,53.86,53.8
3401,2008-03-12,8.87,9.74,9.02,9.67
3400,2017-12-04,49.65,51.47,49.93,50.1
3399,2015-03-12,47.56,48.72,48.68,47.57
3398,2008-11-10,7.31,8.0,7.5,7.64
3397,2012-10-17,11.25,11.79,11.62,11.46
3396,2015-05-13,48.4,49.85,48.49,49.27
3395,2009-02-11,4.4,5.2,4.58,5.14
3394,2016-10-21,39.65,40.245,39.9,39.97
3393,2010-03-25,7.34,7.7,7.37,7.46
3392,2011-06-10,8.05,8.27,8.1,8.15
3391,2017-09-28,46.78,48.6,47.49,46.78
3390,2010-02-26,7.06,7.4,7.33,7.06
3389,2009-10-16,4.29,4.49,4.29,4.45
3388,2010-09-09,9.04,9.72,9.11,9.72
3387,2012-07-19,12.43,13.75,12.5,13.58
3386,2008-06-03,3.7,4.1,4.06,3.91
3385,2017-01-24,46.8,47.8,47.54,47.05
3384,2006-06-14,41.29,44.17,42.49,41.8
3383,2018-08-14,36.83,37.555,37.09,36.84
3382,2007-12-28,14.63,15.38,14.71,15.27
3381,2018-09-05,38.88,41.37,39.67,40.81
3380,2011-10-05,4.95,5.23,5.17,4.97
3379,2015-12-14,41.08,42.87,41.77,42.26
3378,2009-07-02,2.29,2.46,2.46,2.36
3377,2014-01-15,28.7,29.44,28.84,28.9
3376,2018-03-08,54.28,55.69,54.79,54.33
3375,2005-10-11,21.8,22.3,21.98,22.26
3374,2007-11-12,21.25,22.43,22.03,21.63
3373,2014-12-05,50.01,51.75,51.01,50.09
3372,2006-11-15,53.35,59.65,59.5,53.5
3371,2012-07-16,13.99,14.5,14.09,14.4
3370,2012-04-09,7.63,7.84,7.75,7.75
3369,2014-08-29,38.36,39.35,38.881,39.1
3368,2013-10-11,20.42,20.73,20.72,20.5
3367,2018-12-27,30.865,32.05,32.04,31.71
3366,2013-04-05,15.03,15.79,15.72,15.17
3365,2011-05-31,9.05,9.22,9.1,9.13
3364,2011-08-25,5.05,5.39,5.08,5.33
3363,2009-08-27,3.56,3.81,3.65,3.81
3362,2014-05-05,35.79,36.78,36.6,36.08
3361,2011-08-03,5.27,6.1,5.9,5.63
3360,2011-11-28,4.16,4.4,4.27,4.21
3359,2018-05-31,42.97,44.71,43.54,43.4
3358,2010-03-02,7.5,7.82,7.68,7.74
3357,2013-06-18,16.82,17.32,17.22,16.94
3356,2018-05-15,41.6,43.4,43.19,42.02
3355,2018-10-08,35.6,36.85,35.9,36.44
3354,2007-12-06,17.34,18.63,17.54,18.07
3353,2015-05-27,41.6,42.45,42.24,41.65
3352,2019-01-04,30.4,32.09,32.04,30.44
3351,2010-09-07,9.52,9.9,9.54,9.88
3350,2008-05-07,7.25,8.31,7.34,7.99
3349,2006-09-14,44.65,46.78,46.53,44.9
3348,2009-05-06,4.76,5.35,5.0,5.24
3347,2012-09-12,11.58,11.91,11.82,11.65
3346,2011-03-21,8.82,9.19,9.17,9.04
3345,2008-05-22,5.14,5.79,5.22,5.57
3344,2011-05-24,9.73,10.1,9.74,10.1
3343,2006-06-12,43.5,47.6,44.25,47.6
3342,2010-02-01,5.35,5.63,5.6,5.43
3341,2016-10-06,37.57,38.22,38.17,37.83
3340,2010-09-16,8.64,9.14,9.12,8.87
3339,2006-01-04,37.7,40.6,39.2,37.7
3338,2011-08-23,5.16,5.36,5.33,5.28
3337,2015-07-01,37.8,40.9,38.8,40.65
3336,2008-05-19,7.17,7.95,7.31,7.8
3335,2007-08-01,29.92,31.48,30.44,30.73
3334,2014-02-06,33.7,34.92,34.66,33.71
3333,2014-05-28,39.19,40.33,39.8,39.4
3332,2013-07-16,17.75,18.0,17.95,17.86
3331,2018-12-10,32.61,34.17,33.84,33.67
3330,2018-03-20,54.67,55.7,55.32,54.93
3329,2010-03-16,7.73,7.96,7.77,7.93
3328,2015-02-06,47.89,49.47,48.145,48.84
3327,2007-04-30,36.68,38.28,36.94,38.0
3326,2018-01-26,52.34,53.9,53.07,53.65
3325,2011-06-15,7.94,8.33,8.23,8.1
3324,2010-09-02,9.46,9.79,9.65,9.59
3323,2018-10-10,31.59,33.4,31.61,33.33
3322,2017-11-06,47.28,48.1,47.51,47.46
3321,2013-09-04,16.44,16.85,16.81,16.49
3320,2013-01-02,13.6,14.01,13.98,13.72
3319,2018-12-14,32.08,33.2741,32.41,32.27
3318,2010-03-01,7.4,7.75,7.69,7.41
3317,2006-06-28,46.76,48.83,47.3,48.35
3316,2017-08-25,43.01,45.43,45.25,43.09
3315,2010-02-19,6.65,6.96,6.93,6.65
3314,2012-01-19,6.03,6.3,6.26,6.06
3313,2005-11-10,31.15,33.96,32.8,31.15
3312,2011-03-31,8.59,8.91,8.71,8.91
3311,2015-01-20,49.9345,52.83,52.75,51.0
3310,2016-08-04,33.0,33.77,33.58,33.57
3309,2005-12-08,33.53,33.98,33.66,33.95
3308,2010-04-13,7.31,7.7,7.49,7.66
3307,2016-10-05,37.31,38.115,37.87,37.82
3306,2006-04-18,36.84,37.6,37.05,37.1
3305,2019-03-07,31.6177,32.7,32.22,32.7
3304,2014-04-22,35.75,36.74,36.16,35.76
3303,2009-12-28,4.88,5.4,5.02,5.22
3302,2006-09-13,44.36,46.64,44.9,45.0
3301,2012-03-16,7.1,7.67,7.15,7.64
3300,2017-02-24,45.58,46.3,46.28,46.0
3299,2007-03-08,49.11,50.93,49.31,49.88
3298,2017-12-14,50.075,51.36,50.21,50.59
3297,2009-06-03,2.81,3.07,2.95,3.07
3296,2008-10-07,4.95,6.3,5.11,6.18
3295,2015-02-25,49.46,51.49,49.73,51.3
3294,2017-06-15,48.37,49.32,49.11,49.14
3293,2017-08-23,43.52,45.2431,43.97,45.17
3292,2011-05-16,9.53,9.98,9.94,9.55
3291,2012-12-18,12.77,12.95,12.95,12.85
3290,2008-09-08,5.39,8.0,7.68,7.78
3289,2016-05-27,31.4137,31.84,31.65,31.6
3288,2014-07-30,39.295,40.26,39.55,39.9
3287,2007-10-11,29.01,31.18,29.15,30.8
3286,2008-05-09,6.8,7.28,7.08,6.88
3285,2010-01-19,5.5,5.73,5.64,5.5
3284,2013-08-21,15.75,15.99,15.81,15.8
3283,2007-06-04,33.69,35.25,33.95,35.25
3282,2010-09-01,9.17,9.59,9.56,9.33
3281,2007-07-13,33.89,34.46,34.1,34.11
3280,2013-04-01,16.54,17.13,16.67,17.02
3279,2007-04-27,37.11,38.84,37.18,38.81
3278,2018-03-15,54.93,55.56,55.17,55.35
3277,2006-02-24,33.18,33.98,33.52,33.97
3276,2016-05-23,31.7,32.29,31.73,32.03
3275,2005-11-22,31.6,32.74,32.5,31.99
3274,2013-03-05,13.71,14.05,14.05,14.01
3273,2011-03-24,8.7,8.92,8.86,8.85
3272,2014-04-07,35.46,37.48,35.78,36.78
3271,2015-08-04,41.88,42.77,42.74,42.15
3270,2018-05-22,42.83,45.04,42.88,44.5
3269,2017-09-19,44.03,45.66,44.38,45.28
3268,2018-08-01,37.69,39.47,38.14,39.38
3267,2009-12-18,4.32,4.63,4.53,4.61
3266,2015-03-13,48.28,49.49,49.22,48.75
3265,2015-03-27,51.38,52.85,52.66,51.38
3264,2009-01-23,7.03,8.0,7.82,7.1
3263,2014-06-09,43.07,44.43,43.59,44.0
3262,2017-04-27,42.41,44.21,43.98,43.91
3261,2017-02-09,44.94,46.599,46.3,45.07
3260,2018-03-06,52.9,54.02,53.57,53.34
3259,2015-08-05,42.592,43.3,42.96,42.85
3258,2011-11-21,4.02,4.37,4.25,4.33
3257,2016-09-22,34.85,36.03,35.25,34.96
3256,2012-02-16,8.68,9.16,9.1,8.85
3255,2012-03-23,7.23,7.58,7.55,7.4
3254,2010-11-24,11.21,11.88,11.74,11.22
3253,2009-05-11,3.6,3.9,3.75,3.75
3252,2007-03-14,44.01,47.81,45.78,47.75
3251,2012-11-02,12.38,12.69,12.53,12.6
3250,2008-03-18,7.24,8.13,7.98,7.69
3249,2018-11-28,37.78,38.97,38.94,38.59
3248,2006-08-23,40.34,41.94,40.89,41.9
3247,2005-12-09,33.35,34.07,33.88,33.41
3246,2012-12-06,12.1,12.68,12.61,12.13
3245,2015-05-05,46.9,48.71,47.005,48.21
3244,2005-10-26,21.99,22.45,22.32,22.0
3243,2015-08-17,42.82,44.015,43.95,42.96
3242,2016-07-05,28.19,29.16,28.93,29.09
3241,2014-03-24,36.03,36.86,36.8,36.25
3240,2014-08-13,37.44,38.46,38.12,37.64
3239,2011-12-21,5.71,6.09,5.77,5.88
3238,2014-04-24,35.8,38.24,37.26,37.84
3237,2008-05-06,7.61,8.2,8.03,8.2
3236,2009-02-25,3.1,3.76,3.3,3.73
3235,2014-07-24,41.7,43.95,42.16,42.5
3234,2013-12-30,24.65,25.25,24.78,24.87
3233,2017-02-08,44.51,45.26,45.06,45.26
3232,2017-09-13,46.1,47.58,47.0,46.35
3231,2019-02-11,36.08,36.7173,36.59,36.08
3230,2010-10-06,9.15,9.4,9.23,9.27
3229,2019-04-04,33.35,34.12,33.93,33.96
3228,2009-11-23,3.08,3.18,3.1,3.17
3227,2015-11-19,41.89,42.7299,42.3,41.94
3226,2016-07-13,34.115,35.29,34.45,35.0
3225,2009-03-23,2.34,2.71,2.71,2.48
3224,2013-05-13,17.57,17.95,17.72,17.74
3223,2017-11-29,48.66,51.16,49.25,49.38
3222,2015-09-14,41.84,42.5,42.29,42.17
3221,2017-09-06,42.6066,44.68,44.31,43.09
3220,2014-11-25,43.1,44.44,44.15,43.18
3219,2010-02-25,6.91,7.14,7.08,7.06
3218,2014-02-27,36.34,36.9485,36.56,36.88
3217,2013-11-29,23.45,24.18,23.48,24.12
3216,2010-12-29,9.85,10.16,10.14,9.95
3215,2013-02-06,14.06,14.58,14.56,14.06
3214,2011-12-28,5.11,5.47,5.19,5.47
3213,2018-08-30,40.1504,40.84,40.4,40.36
3212,2013-03-01,13.32,13.95,13.61,13.37
3211,2013-07-11,17.27,17.5,17.37,17.4
3210,2018-10-23,30.6,32.44,32.38,31.53
3209,2018-12-03,39.135,40.58,39.65,40.57
3208,2011-01-31,9.89,10.53,9.92,10.19
3207,2017-10-27,47.33,48.89,47.56,48.41
3206,2010-03-24,7.27,7.52,7.41,7.27
3205,2017-03-28,41.55,42.93,42.6,41.83
3204,2016-10-07,37.4,38.481,37.73,38.25
3203,2007-05-24,34.45,35.41,35.13,34.8
3202,2009-08-07,3.07,3.32,3.21,3.14
3201,2013-03-06,14.25,14.68,14.57,14.52
3200,2018-11-23,36.66,38.27,37.95,36.66
3199,2008-12-15,6.03,6.59,6.35,6.48
3198,2015-07-29,40.44,41.33,40.73,41.09
3197,2016-03-17,41.82,42.31,42.1,42.31
3196,2008-07-18,2.43,2.9,2.87,2.6
3195,2013-02-07,14.63,15.4,15.11,14.91
3194,2018-04-10,47.21,50.57,47.46,50.52
3193,2019-04-26,32.1,33.92,33.06,32.15
3192,2011-08-29,5.33,5.63,5.55,5.33
3191,2010-10-07,9.07,9.31,9.24,9.3
3190,2011-12-30,5.05,5.23,5.07,5.19
